"selection_algorithm","predictors_chosen","num_predictors","PRESS","MSEP","AIC","SBC","SBIC","RMSE","MSE","MAE","Adj_Rsquare","Pred_Rquare","RSquare","Coef_Determ","Coef_Var","Total_SS","Reg_SS","Err_SS","RMS","EMS","Function_Used","KS_Stat","KS_Pvalues","Params","target_name"
"Best Subset (SBIC)","YearBuilt BedroomAbvGr FullBath EnclosedPorch PoolArea LotShape YearRemodAdd BsmtFullBath",8,4794014116614.37,4679731727982.65,36067.3969887602,36130.814839711,31925.9089451873,56693.1936672812,3214118208.19585,39414.2393771239,0.491393842511356,0.479333632419764,0.494884619158499,0.70348036160116,31.3338191632337+0i,9207458778054.46,4556629730795.06,4650829047259.4,455662973079.506,3214118208.19585,"ols_step_best_subset",0.0341384209076439,0.363223410556998,"target=SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Forward (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF YearRemodAdd GarageArea Fireplaces KitchenAbvGr KitchenQual LotArea YearBuilt TotRmsAbvGrd ScreenPorch WoodDeckSF Exterior1st LotFrontage ExterQual HalfBath BsmtFinSF2 MasVnrType GarageCars OpenPorchSF YrSold X3SsnPorch BsmtFinSF1 BsmtFullBath",26,Inf,21.0844252753832,-1928.15127640135,-1563.49863343412,-6145.1390991092,0.122014636622096,0.0148875715500221,0.0841475675392388,0.906820141320229,-Inf,0.9111050078484,0.954518207185384,1.01475838933989+0i,232.788416463774,212.094692009243,20.6937244545307,3.16559241804841,0.0148875715500221,"ols_step_forward_aic",0.0463162754051999,0.0875358653441882,"target=Log_SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Backward (aic)","LotFrontage LotArea Neighborhood OverallQual YearBuilt YearRemodAdd Exterior1st MasVnrType ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BsmtFullBath HalfBath KitchenAbvGr KitchenQual TotRmsAbvGrd Fireplaces GarageCars GarageArea WoodDeckSF OpenPorchSF X3SsnPorch ScreenPorch YrSold TotalIndoorSF",26,Inf,21.0844252753832,-1928.15127640135,-1563.49863343412,-6145.1390991092,0.122014636622096,0.0148875715500221,0.0841475675392388,0.906820141320229,-Inf,0.9111050078484,0.954518207185384,1.01475838933989+0i,232.788416463774,212.094692009243,20.6937244545307,3.16559241804841,0.0148875715500221,"ols_step_backward_aic",0.0463162754051999,0.0875358653441882,"target=Log_SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Stepwise (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF YearRemodAdd GarageArea Fireplaces KitchenAbvGr KitchenQual LotArea YearBuilt TotRmsAbvGrd ScreenPorch WoodDeckSF Exterior1st LotFrontage ExterQual HalfBath BsmtFinSF2 MasVnrType GarageCars OpenPorchSF YrSold X3SsnPorch BsmtFinSF1 BsmtFullBath",26,Inf,21.0844252753832,-1928.15127640135,-1563.49863343412,-6145.1390991092,0.122014636622096,0.0148875715500221,0.0841475675392388,0.906820141320229,-Inf,0.9111050078484,0.954518207185384,1.01475838933989+0i,232.788416463774,212.094692009243,20.6937244545307,3.16559241804841,0.0148875715500221,"ols_step_both_aic",0.0463162754051999,0.0875358653441882,"target=Log_SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Forward (p-values)","OverallQual TotalIndoorSF Neighborhood BsmtUnfSF YearRemodAdd GarageArea Fireplaces KitchenAbvGr YearBuilt TotRmsAbvGrd LotArea KitchenQual ScreenPorch WoodDeckSF Exterior1st LotFrontage ExterQual HalfBath BsmtFinSF2 MasVnrType GarageCars",21,Inf,21.2283177901532,-1923.14581624527,-1584.91727784088,-6140.78756138019,0.12242414102012,0.0149876703045142,0.0845198682342522,0.906193632976256,-Inf,0.910185393275138,0.954036368947819,1.01816411208653+0i,232.788416463774,211.880616388977,20.9078000747973,3.4174292965964,0.0149876703045142,"ols_step_forward_p",0.0483832905075258,0.0657988376098778,"target=Log_SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Backward (p-values)","LotFrontage LotArea Neighborhood OverallQual YearBuilt YearRemodAdd Exterior1st MasVnrType ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BsmtFullBath HalfBath KitchenAbvGr KitchenQual TotRmsAbvGrd Fireplaces GarageCars GarageArea WoodDeckSF OpenPorchSF ScreenPorch YrSold TotalIndoorSF",25,Inf,21.1054546604126,-1927.67858309368,-1568.31076103901,-6144.80331309995,0.122074242086004,0.0149021205808724,0.0841651358891713,0.906729080354779,-Inf,0.910954118581673,0.954439164421532,1.01525410974055+0i,232.788416463774,212.059566735781,20.7288497279935,3.21302373842092,0.0149021205808724,"ols_step_backward_p",0.0456299342522784,0.0959725966276499,"target=Log_SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Stepwise (p-values)","OverallQual TotalIndoorSF Neighborhood BsmtUnfSF YearRemodAdd GarageArea Fireplaces KitchenAbvGr YearBuilt TotRmsAbvGrd LotArea KitchenQual ScreenPorch WoodDeckSF Exterior1st LotFrontage ExterQual HalfBath BsmtFinSF2 MasVnrType GarageCars",21,Inf,21.2283177901532,-1923.14581624527,-1584.91727784088,-6140.78756138019,0.12242414102012,0.0149876703045142,0.0845198682342522,0.906193632976256,-Inf,0.910185393275138,0.954036368947819,1.01816411208653+0i,232.788416463774,211.880616388977,20.9078000747973,3.4174292965964,0.0149876703045142,"ols_step_both_p",0.0483832905075258,0.0657988376098778,"target=Log_SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Best Subset (SBIC)","YrSold ExterQual TotRmsAbvGrd BsmtFinSF1 YearRemodAdd LotArea GarageYrBlt BsmtUnfSF",8,54.7287320757984,53.7807294815315,-658.670479729574,-595.252628778751,-4800.15852330255,0.192191328268354,0.0369375066615542,0.141010797983963,0.768811747494063,0.764899246675725,0.770398489103575,0.877723469609635,1.59839645568696+0i,232.788416463775,179.339844324506,53.448572139269,17.9339844324506,0.0369375066615542,"ols_step_best_subset",0.0423289153647339,0.146534426656473,"target=Log_SalePrice imb=0.7 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","Log_SalePrice"
"Forward (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea WoodDeckSF ScreenPorch Exterior1st OpenPorchSF TotRmsAbvGrd HouseStyle GarageCars",25,Inf,908141946770.249,33783.6482623427,34174.7250098728,29554.7587375635,25377.1137736147,643997903.478986,16757.6259881559,0.898092951813666,-Inf,0.903128852616285,0.950330917426285,14.0257029535832+0i,9207458778054.44,8315521681736.05,891937096318.396,115493356690.778,643997903.478986,"ols_step_forward_aic",0.0456463876360813,0.0957626794320091,"target=SalePrice imb=0.65 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Backward (aic)","LotFrontage LotArea Neighborhood HouseStyle OverallQual YearBuilt YearRemodAdd Exterior1st MasVnrType MasVnrArea ExterQual BsmtFinSF1 BsmtFinSF2 BsmtUnfSF BedroomAbvGr KitchenAbvGr KitchenQual TotRmsAbvGrd Fireplaces FireplaceQu GarageCars GarageArea WoodDeckSF OpenPorchSF ScreenPorch PoolArea YrSold TotalIndoorSF",28,Inf,902199439910.655,33785.0165470469,34213.0870409649,29548.7522422595,25331.517081169,641685757.633556,16718.0610237715,0.898458828716077,-Inf,0.903964492773338,0.95077047323386,14.0005020710236+0i,9207458778054.44,8323215804035.4,884242974019.04,105357162076.397,641685757.633556,"ols_step_backward_aic",0.0483602557702018,0.0660130226480278,"target=SalePrice imb=0.65 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Stepwise (aic)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea WoodDeckSF ScreenPorch Exterior1st OpenPorchSF TotRmsAbvGrd HouseStyle GarageCars",25,Inf,908141946770.249,33783.6482623427,34174.7250098728,29554.7587375635,25377.1137736147,643997903.478986,16757.6259881559,0.898092951813666,-Inf,0.903128852616285,0.950330917426285,14.0257029535832+0i,9207458778054.44,8315521681736.05,891937096318.396,115493356690.778,643997903.478986,"ols_step_both_aic",0.0456463876360813,0.0957626794320091,"target=SalePrice imb=0.65 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
"Forward (p-values)","TotalIndoorSF OverallQual Neighborhood BsmtUnfSF KitchenQual ExterQual LotArea GarageArea YearRemodAdd KitchenAbvGr BsmtFinSF2 LotFrontage YearBuilt BsmtFinSF1 BedroomAbvGr MasVnrType MasVnrArea PoolArea WoodDeckSF Exterior1st ScreenPorch OpenPorchSF TotRmsAbvGrd",23,Inf,917524381819.767,33784.6705677838,34133.4687480133,29567.2812205767,25452.2846993252,647818796.415502,16797.0904406215,0.897488328850621,-Inf,0.901991243712364,0.94973219578593,14.0672492493584+0i,9207458778054.45,8305047194647.65,902411583406.794,129766362416.37,647818796.415502,"ols_step_forward_p",0.0429029034111156,0.136453446637654,"target=SalePrice imb=0.65 vif=50 ordint=FALSE ordfact=TRUE pin=0.05 pout=0.1","SalePrice"
